slug,provider,plan,nodeType,chain,accessPrice,queryPrice,uptimeSla,bandwidthSla,blocksBehindSla,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,verifiedUptime,verifiedLatency,verifiedBlocksBehindAvg,actionButtons,address
1rpc-op-mainnet-free,!provider:1rpc-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",
1rpc-op-mainnet-pay-as-you-go,!provider:1rpc-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",
1rpc-op-mainnet-enterprise,!provider:1rpc-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://1rpc.io/op)"",""[Docs](https://docs.1rpc.io/)""]",
alchemy-op-mainnet-free,!provider:alchemy-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
alchemy-op-mainnet-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
alchemy-op-mainnet-enterprise,!provider:alchemy-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-mainnet.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
alchemy-op-sepolia-free,!provider:alchemy-free-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
alchemy-op-sepolia-pay-as-you-go,!provider:alchemy-pay-as-you-go-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
alchemy-op-sepolia-enterprise,!provider:alchemy-enterprise-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://opt-sepolia.g.alchemy.com/v2/your-alchemy-api-key)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
allthatnode-op-mainnet-free-archive,!provider:alchemy-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-op-mainnet-pay-as-you-go-archive,!provider:alchemy-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-op-mainnet-enterprise-archive,!provider:alchemy-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
allthatnode-op-sepolia-free-archive,!provider:allthatnode-free-full-archive,,,testnet,,,,,,,,,,,,,,,,,
allthatnode-op-sepolia-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,,
allthatnode-op-sepolia-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,,
ankr-op-mainnet-free-archive,!provider:allthatnode-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://www.ankr.com/rpc/optimism)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
ankr-op-mainnet-pay-as-you-go-archive,!provider:allthatnode-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
ankr-op-mainnet-enterprise-archive,!provider:allthatnode-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=2eca3eb1-02ac-488c-9d17-db61033caed1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
ankr-op-sepolia-free-archive,!provider:ankr-free-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Website](https://www.ankr.com/rpc/optimism)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
ankr-op-sepolia-pay-as-you-go-archive,!provider:ankr-pay-as-you-go-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://www.ankr.com/rpc/pricing/)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
ankr-op-sepolia-enterprise-archive,!provider:ankr-enterprise-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://meetings-eu1.hubspot.com/arsalan-evini?uuid=2eca3eb1-02ac-488c-9d17-db61033caed1)"",""[Docs](https://www.alchemy.com/docs/choosing-a-web3-network#optimism-sepolia-testnet)""]",
blockpi-op-mainnet-free-archive,!provider:blockpi-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blockpi-op-mainnet-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blockpi-op-mainnet-enterprise-archive,!provider:blockpi-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blockpi-op-sepolia-free-archive,!provider:blockpi-free-full-archive,,,testnet,,,,,,,,,,,,,,,,,
blockpi-op-sepolia-pay-as-you-go-archive,!provider:blockpi-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,,
blockpi-op-sepolia-enterprise-archive,!provider:blockpi-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,,
chainbase-op-mainnet-free,!provider:chainbase-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
chainbase-op-mainnet-pay-as-you-go,!provider:chainbase-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
chainbase-op-mainnet-enterprise,!provider:chainbase-enterprise-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
chainnodes-op-mainnet-free-archive,!provider:chainnodes-free-archive,,,mainnet,,,,,,,,,,,,,,,,,
chainnodes-op-mainnet-pay-as-you-go-archive,!provider:chainnodes-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
chainnodes-op-mainnet-enterprise-archive,!provider:chainnodes-enterprise-archive,,,mainnet,,,,,,,,,,,,,,,,,
chainstack-op-mainnet-free,!provider:chainstack-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,"[""[Website](https://chainstack.com/build-better-with-optimism/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
chainstack-op-mainnet-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://chainstack.com/pricing/https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
chainstack-op-mainnet-enterprise-archive,!provider:chainstack-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
chainstack-op-sepolia-free,!provider:chainstack-free-recent-state,,,testnet,,,,,,,,,,,,,,,,"[""[Website](https://chainstack.com/build-better-with-optimism/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
chainstack-op-sepolia-pay-as-you-go-archive,!provider:chainstack-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://chainstack.com/pricing/https://chainstack.com/pricing/)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
chainstack-op-sepolia-enterprise-archive,!provider:chainstack-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://console.chainstack.com/user/account#signup?plan=enterprise)"",""[Docs](https://docs.chainstack.com/reference/optimism-api-reference)""]",
quicknode-op-mainnet-free,!provider:quicknode-free-recent-state,,Full Archive,mainnet,,,,,,,,,,,,,,,,,
quicknode-op-mainnet-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go,,Full Archive,mainnet,,,,,,,,,,,,,,,,,
quicknode-op-mainnet-enterprise-archive,!provider:quicknode-enterprise-recent-state,,Full Archive,mainnet,,,,,,,,,,,,,,,,,
quicknode-op-sepolia-free,!provider:quicknode-free-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,,
quicknode-op-sepolia-pay-as-you-go-archive,!provider:quicknode-pay-as-you-go,,Full Archive,testnet,,,,,,,,,,,,,,,,,
quicknode-op-sepolia-enterprise-archive,!provider:quicknode-enterprise-recent-state,,Full Archive,testnet,,,,,,,,,,,,,,,,,
publicnode-op-mainnet-free,!provider:publicnode-free,,,mainnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://docs.optimism.io/superchain/networks)""]",
publicnode-op-sepolia-free,!provider:publicnode-free,,,testnet,,,,,,,,,,,,,,,,"[""[Send Requests](https://docs.optimism.io/superchain/networks)""]",
blast-op-mainnet-free-full-archive,!provider:blast-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blast-op-mainnet-pay-as-you-go-full-archive,!provider:blast-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blast-op-mainnet-enterprise-full-archive,!provider:blast-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,,
blast-op-sepolia-free-full-archive,!provider:blast-free-full-archive,,,testnet,,,,,,,,,,,,,,,,,
blast-op-sepolia-pay-as-you-go-full-archive,!provider:blast-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,,
blast-op-sepolia-enterprise-full-archive,!provider:blast-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,,
nownodes-op-mainnet-free-recent-state,!provider:nownodes-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-op-mainnet-pay-as-you-go-recent-state,!provider:nownodes-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
nownodes-op-mainnet-dedicated-recent-state,!provider:nownodes-dedicated-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
tenderly-op-mainnet-free-recent-state,!provider:tenderly-free-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
tenderly-op-mainnet-pay-as-you-go-recent-state,!provider:tenderly-pay-as-you-go-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
tenderly-op-mainnet-dedicated-recent-state,!provider:tenderly-dedicated-recent-state,,,mainnet,,,,,,,,,,,,,,,,,
tenderly-op-sepolia-free-recent-state,!provider:tenderly-free-recent-state,,,testnet,,,,,,,,,,,,,,,,,
tenderly-op-sepolia-pay-as-you-go-recent-state,!provider:tenderly-pay-as-you-go-recent-state,,,testnet,,,,,,,,,,,,,,,,,
tenderly-op-sepolia-dedicated-recent-state,!provider:tenderly-dedicated-recent-state,,,testnet,,,,,,,,,,,,,,,,,
infura-op-mainnet-free-full-archive,!provider:infura-free-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
infura-op-mainnet-pay-as-you-go-full-archive,!provider:infura-pay-as-you-go-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
infura-op-mainnet-enterprise-full-archive,!provider:infura-enterprise-full-archive,,,mainnet,,,,,,,,,,,,,,,,"[""[Contact](https://www.infura.io/contact)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
infura-op-sepolia-free-full-archive,!provider:infura-free-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
infura-op-sepolia-pay-as-you-go-full-archive,!provider:infura-pay-as-you-go-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Buy](https://www.infura.io/pricing)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
infura-op-sepolia-enterprise-full-archive,!provider:infura-enterprise-full-archive,,,testnet,,,,,,,,,,,,,,,,"[""[Contact](https://www.infura.io/contact)"",""[Docs](https://docs.metamask.io/services/reference/optimism/)""]",
